# DNS Speed Test — Server List
# Format: IP, Provider, Category
# Lines starting with # are comments and will be ignored.
# Categories: Global | US-East | Gaming | Iran
# ─────────────────────────────────────────────────────────────────────────────

# ══════════════════════════════════════════════════════════════════════════════
#  GLOBAL DNS PROVIDERS
# ══════════════════════════════════════════════════════════════════════════════

# Cloudflare — Anycast, Ashburn VA PoP (excellent for US-East gaming)
1.1.1.1, Cloudflare, Global
1.0.0.1, Cloudflare, Global

# Google Public DNS — Global Anycast, very low latency
8.8.8.8, Google, Global
8.8.4.4, Google, Global

# Quad9 — Security-focused, global Anycast
9.9.9.9, Quad9, Global
149.112.112.112, Quad9, Global

# OpenDNS (Cisco) — Reliable, fast US routing
208.67.222.222, OpenDNS, Global
208.67.220.220, OpenDNS, Global

# AdGuard DNS — Ad-blocking, global Anycast
94.140.14.14, AdGuard, Global
94.140.15.15, AdGuard, Global

# AdGuard DNS (Alternate)
176.103.130.130, AdGuard Alt, Global
176.103.130.131, AdGuard Alt, Global

# Alternate DNS
76.76.19.19, Alternate DNS, Global
76.223.122.150, Alternate DNS, Global

# CleanBrowsing — Family-safe DNS
185.228.168.168, CleanBrowsing, Global
185.228.169.168, CleanBrowsing, Global

# DNS.WATCH — Privacy-focused, no logging
84.200.69.80, DNS.WATCH, Global
84.200.70.40, DNS.WATCH, Global

# Level3 / Lumen — Backbone provider, very fast in US
4.2.2.1, Level3 / Lumen, Global
4.2.2.2, Level3 / Lumen, Global
4.2.2.3, Level3 / Lumen, Global
4.2.2.4, Level3 / Lumen, Global

# Verisign Public DNS — Stable, secure
64.6.64.6, Verisign, Global
64.6.65.6, Verisign, Global

# Yandex DNS
77.88.8.8, Yandex, Global
77.88.8.1, Yandex, Global

# Yandex Safe DNS
77.88.8.2, Yandex Safe, Global
77.88.8.3, Yandex Safe, Global

# Freenom World
80.80.80.80, Freenom, Global
80.80.81.81, Freenom, Global

# Norton ConnectSafe
199.85.126.10, Norton, Global
199.85.127.10, Norton, Global

# Neustar UltraDNS — Headquartered in Sterling, Virginia
156.154.70.1, Neustar (Sterling VA), Global
156.154.71.1, Neustar (Sterling VA), Global

# NextDNS — Customizable, privacy-first
45.90.28.0, NextDNS, Global
45.90.30.0, NextDNS, Global

# Mullvad DNS — Privacy, no-log, Sweden
194.242.2.2, Mullvad, Global
194.242.2.3, Mullvad, Global

# Comodo Secure DNS
8.26.56.26, Comodo, Global
8.20.247.20, Comodo, Global

# SafeDNS
195.46.39.39, SafeDNS, Global
195.46.39.40, SafeDNS, Global

# Hurricane Electric — Fremont CA, strong US backbone
74.82.42.42, Hurricane Electric, Global

# dns0.eu — European anycast
193.110.81.0, dns0.eu, Global
185.253.5.0, dns0.eu, Global

# DNS.SB — Anycast, no logging
185.222.222.222, DNS.SB, Global
45.11.45.11, DNS.SB, Global


# ══════════════════════════════════════════════════════════════════════════════
#  US-EAST / VIRGINIA DNS SERVERS
#  Best for gaming on East Coast US servers (AWS us-east-1, etc.)
# ══════════════════════════════════════════════════════════════════════════════

# Comcast / Xfinity — Anycast, strong US-East presence
75.75.75.75, Comcast Xfinity, US-East
